image,rows,cols,bytes,ms_h2d,ms_kernel,ms_d2h,total_ms
000000190236.jpg,393,640,754560,0.4104,0.319808,1.83328,2.56349
000000190756.jpg,480,640,921600,0.447744,0.315936,2.63117,3.39485
000000191761.jpg,375,500,562500,0.285696,0.248576,1.12474,1.65901
000000192699.jpg,457,640,877440,0.41808,0.284448,2.72109,3.42362
000000194716.jpg,427,640,819840,0.419712,0.292224,1.22128,1.93322
000000199442.jpg,433,640,831360,0.4056,0.291392,1.20506,1.90205
000000204871.jpg,612,612,1123632,0.570176,0.344192,1.44512,2.35949
000000212226.jpg,335,500,502500,0.322464,0.288224,0.851328,1.46202
000000213547.jpg,640,480,921600,0.498848,0.369344,1.30854,2.17674
000000215259.jpg,500,336,504000,0.341568,0.221312,0.798848,1.36173
000000216277.jpg,480,640,921600,0.46224,0.286816,1.44122,2.19027
000000222118.jpg,427,640,819840,0.473024,0.36176,1.23558,2.07037
000000226058.jpg,480,640,921600,0.604384,0.443712,1.66992,2.71802
000000228942.jpg,319,640,612480,0.45488,0.293248,1.22342,1.97155
000000229111.jpg,500,375,562500,0.364736,0.254304,1.0968,1.71584
000000229221.jpg,427,640,819840,0.575168,0.312096,1.56378,2.45104
000000231527.jpg,640,427,819840,0.462272,0.359584,1.48125,2.3031
000000234660.jpg,480,640,921600,0.51728,0.303808,1.24374,2.06483
000000234779.jpg,427,640,819840,0.4056,0.3,1.07571,1.78131
000000239537.jpg,436,640,837120,0.356672,0.272832,0.908704,1.53821
000000241319.jpg,476,640,913920,0.385088,0.310112,1.33891,2.03411
000000241677.jpg,480,640,921600,0.545536,0.290944,1.32112,2.1576
000000242724.jpg,480,640,921600,0.422848,0.289664,1.14509,1.8576
000000244379.jpg,464,640,890880,0.44064,0.284864,1.2545,1.98
